redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,check_sfh,count_domain_occurrences,page_rank_decimal,is_malicious
0,0,0,0,1,0,0,0.333333333,0.666666667,0,1,1,30,1,0,0,0,1
0,0,-233,0,0,0,0,0.2,0.8,0,1,1,21,1,0.5,285,6.02,0
0,0,-342,0,0,0,0,0.636363636,0.363636364,1,0,1,30,1,0.5,51,4.93,0
1,0,0,0,0,0,0,0.206896552,0.793103448,0,0,0,30,1,0,426,4.89,0
1,0,-256,0,0,0,0,0.5,0.5,1,1,0,30,4,0,225,5.17,0
0,0,0,0,1,0,0,0.5,0.5,0,1,1,30,1,0,1,2.42,1
0,0,0,0,0,0,0,0,1,0,1,0,30,1,0.5,0,3.38,0
0,0,-29,0,0,0.132352941,0,0.269230769,0.730769231,0,0,4,30,1,0,33,4,0
2,0,0,0,0,0,0,0.583333333,0.416666667,0,0,0,28,1,0.5,6,4.97,0
1,0,-66,0,0,0,0,0.531914894,0.468085106,0,1,0,30,2,0,0,5.19,0
1,0,-130,0,0,0,0,0.233333333,0.766666667,0,1,6,30,4,0,108,5.56,0
1,0,-301,0,0,0,0,0.260869565,0.739130435,1,1,1,27,1,0,0,4.46,0
1,0,-195,0,0,0,0,0.3,0.7,0,1,1,18,4,0,4,5.1,0
0,0,-352,0,0,0,0,0.25,0.75,1,1,0,6,2,0,953,5.58,0
0,0,0,0,0,0,0,0.230769231,0.769230769,0,1,1,30,1,0.5,3,4.4,0
0,0,0,0,0,0,0,0.75,0.25,0,1,1,30,1,0,0,4.35,1
1,0,0,0,1,0,0,0.666666667,0.333333333,0,1,1,30,1,0,0,0,1
0,0,-107,0,1,0,0,0,0,0,1,0,30,1,0,0,5.09,0
0,0,-212,0,1,0,0,0.8,0.2,1,1,4,30,2,0,4,4.81,0
0,0,0,0,1,0,0,0.5,0.5,0,1,0,30,1,0,2,5.16,0
3,0,0,0,0,0,0,0.434782609,0.565217391,0,1,1,18,2,0,0,5.69,0
